batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP
E3N2BC1431,2024-03-22 13:40:39,139.86,0.0,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:40:53,139.92,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:40:58,139.82,0.0,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:03,139.9,0.04,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:08,139.8,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:13,139.95,0.0,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:18,139.85,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:23,139.95,0.12,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:27,139.8,-0.04,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:32,139.93,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:37,139.82,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:42,139.94,0.0,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:47,139.85,0.04,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:52,139.96,0.12,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:41:57,139.86,-0.04,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:02,139.94,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:17,139.94,0.0,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:31,140.01,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:35,139.91,-0.04,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:40,140.0,0.08,0.0,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:45,139.88,21.68,0.55,0.0,546.35,683.41,0,0
E3N2BC1431,2024-03-22 13:42:50,140.15,330.5,0.0,0.35,544.69,682.96,0,0
E3N2BC1431,2024-03-22 13:42:55,140.04,413.55,0.0,0.35,544.21,682.83,0,0
E3N2BC1431,2024-03-22 13:43:00,140.09,1114.32,5.0,0.68,542.52,682.37,0,0
E3N2BC1431,2024-03-22 13:43:05,139.84,3559.35,29.98,3.2,536.22,680.64,0,0
E3N2BC1431,2024-03-22 13:43:10,140.15,5852.87,27.18,5.53,536.22,680.64,0,0
E3N2BC1431,2024-03-22 13:43:15,141.46,6029.15,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:43:20,142.1,6263.86,4.99,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:43:25,141.76,6683.07,4.97,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:43:30,142.19,6730.35,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:43:35,142.18,6730.23,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:43:40,142.31,6730.35,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:43:54,142.49,6730.27,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:08,142.65,6730.43,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:13,142.6,6730.31,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:18,142.71,6730.35,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:23,142.62,6730.47,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:28,142.76,6730.51,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:33,142.68,6730.35,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:38,142.81,6730.43,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:43,142.71,6730.51,0.0,6.0,539.9,681.65,0,0
E3N2BC1431,2024-03-22 13:44:48,142.74,7064.77,4.97,6.21,538.28,681.21,0,0
E3N2BC1431,2024-03-22 13:44:53,142.19,7482.53,4.97,6.58,538.28,681.21,0,0
E3N2BC1431,2024-03-22 13:44:58,142.52,7487.59,0.0,6.77,537.84,681.09,0,0
E3N2BC1431,2024-03-22 13:45:03,142.43,7715.95,4.97,6.93,536.18,680.63,0,0
E3N2BC1431,2024-03-22 13:45:08,142.11,8526.32,11.96,7.32,536.18,680.63,0,0
E3N2BC1431,2024-03-22 13:45:12,141.83,11000.84,29.99,9.33,533.16,679.8,0,0
E3N2BC1431,2024-03-22 13:45:17,142.17,13456.15,29.98,12.38,525.84,672.31,0,0
E3N2BC1431,2024-03-22 13:45:32,138.53,17328.2,4.97,16.47,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:45:46,138.95,18463.38,4.97,17.64,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:45:51,139.1,18872.45,5.02,18.01,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:45:56,139.22,19282.78,4.97,18.52,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:46:01,138.64,19679.64,4.97,18.89,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:46:06,138.97,20084.99,4.94,19.25,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:46:11,138.78,20492.45,4.99,19.74,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:46:16,138.43,20899.72,5.0,20.11,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:46:20,139.12,21305.97,4.97,20.51,528.92,674.03,0,0
E3N2BC1431,2024-03-22 13:46:25,138.69,22561.07,21.48,21.12,528.28,673.85,0,0
E3N2BC1431,2024-03-22 13:46:30,135.85,22939.91,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:46:35,136.22,22939.91,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:46:40,136.22,22939.83,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:46:45,136.31,22939.79,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:46:50,136.28,22939.83,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:46:55,136.37,22939.91,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:47:10,136.38,22939.91,0.0,22.27,526.18,673.28,0,0
E3N2BC1431,2024-03-22 13:47:24,136.12,23567.8,4.97,22.83,523.15,672.45,0,0
E3N2BC1431,2024-03-22 13:47:28,135.9,24443.87,9.99,23.47,520.32,671.67,0,0
E3N2BC1431,2024-03-22 13:47:33,135.32,25672.82,15.01,24.57,524.98,671.21,0,0
E3N2BC1431,2024-03-22 13:47:38,134.56,26925.29,15.01,26.12,532.98,682.21,0,0
E3N2BC1431,2024-03-22 13:47:43,136.47,28135.71,14.98,27.17,537.98,687.21,0,0
